Sample,Group,Condition,Animal
DV13-BL,Placebo,baseline,DV13
EL86-BL,Placebo,baseline,EL86
HA05-BL,Placebo,baseline,HA05
FF66-BL,Placebo,baseline,FF66
DH91-BL,Placebo,baseline,DH91
DV13-PG,Placebo,postgel,DV13
EL86-PG,Placebo,postgel,EL86
GI57-PG,Placebo,postgel,GI57
HA05-PG,Placebo,postgel,HA05
FF66-PG,Placebo,postgel,FF66
DH91-PG,Placebo,postgel,DH91
HI81-PG,Placebo,postgel,HI81
HH91-BL,lowgel,baseline,HH91
GC05-BL,lowgel,baseline,GC05
HH78-BL,lowgel,baseline,HH78
EJ42-BL,lowgel,baseline,EJ42
FH29-BL,lowgel,baseline,FH29
FC50-BL,lowgel,baseline,FC50
GK45-BL,lowgel,baseline,GK45
FV47-BL,lowgel,baseline,FV47
HH91-PG,lowgel,postgel,HH91
GC05-PG,lowgel,postgel,GC05
HH78-PG,lowgel,postgel,HH78
EJ42-PG,lowgel,postgel,EJ42
FH29-PG,lowgel,postgel,FH29
FC50-PG,lowgel,postgel,FC50
GK45-PG,lowgel,postgel,GK45
FV47-PG,lowgel,postgel,FV47
IC87-PG,lowgel,postgel,IC87
GB85-PG,lowgel,postgel,GB85